Orchestration architecture,Orchestration algorithm,Edge devices count,Tasks execution delay (s),Average execution delay (s),Tasks waiting time (s),Average waiting time (s),Generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average VM CPU usage (%),Average VM CPU usage (Cloud) (%),Average VM CPU usage (Edge) (%),Average VM CPU usage (Mist) (%),Energy consumption (W),Average energy consumption (W/Data center),Cloud energy consumption (W),Average Cloud energy consumption (W/Data center),Edge energy consumption (W),Average Edge energy consumption (W/Data center),Mist energy consumption (W),Average Mist energy consumption (W/Device),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
EDGE_AND_CLOUD,LEADER,50,1269.1189,0.2696,153.66,0.0326,4800,4693,0,14,0,93,0,178,178,4622,4515,0,0,3584.8299999999426,1164.2600000000316,3584.8299999999426,82607.00000000233,0.0,0.0,210.67282506886988,1.831,0.0427,2.0992,NaN,0,0,0,0,0,0,0,0,0,0,0,-1.0,[],[]
EDGE_AND_CLOUD,LEADER,60,1515.7465,0.2653,218.3701,0.0382,5800,5656,0,57,0,87,0,318,318,5482,5338,0,0,12711.47000000014,9510.33,12711.47000000014,99987.00000000803,0.0,0.0,196.17486403744144,1.9407,0.0702,2.2212,NaN,0,0,0,0,0,0,0,0,0,0,0,-1.0,[],[]
EDGE_AND_CLOUD,LEADER,70,1787.4235,0.2671,291.0803,0.0435,6800,6651,0,41,0,108,0,329,329,6471,6322,0,0,11915.809999999756,8313.829999999569,11915.809999999756,116234.00000001353,0.0,0.0,192.33760417761997,2.2902,0.0716,2.623,NaN,0,0,0,0,0,0,0,0,0,0,0,-1.0,[],[]
EDGE_AND_CLOUD,LEADER,80,2046.0517,0.2666,368.8505,0.0481,7800,7568,0,108,0,124,0,394,394,7406,7174,0,0,19406.54000000173,14677.050000001062,19406.54000000173,132486.00000001918,0.0,0.0,184.34001039226527,2.5024,0.0822,2.8654,NaN,0,0,0,0,0,0,0,0,0,0,0,-1.0,[],[]
EDGE_AND_CLOUD,LEADER,90,2284.9316,0.2654,450.131,0.0523,8800,8484,0,127,0,189,0,497,497,8303,7987,0,0,25453.170000004066,20141.420000003352,25453.170000004066,148610.00000002494,0.0,0.0,175.96175665438224,2.7151,0.0999,3.1074,NaN,0,0,0,0,0,0,0,0,0,0,0,-1.0,[],[]
EDGE_AND_CLOUD,LEADER,100,2553.8951,0.2666,544.4908,0.0568,9800,9335,0,245,0,220,0,507,507,9293,8828,0,0,29028.41000000609,20881.850000003004,29028.41000000609,164689.00000003085,0.0,0.0,166.01069147394932,3.0371,0.1018,3.4774,NaN,0,0,0,0,0,0,0,0,0,0,0,-1.0,[],[]
EDGE_AND_CLOUD,LEADER,110,2799.4381,0.2661,681.403,0.0648,10800,10233,0,289,0,278,0,593,593,10207,9640,0,0,39749.69000000937,31978.23000000689,39749.69000000937,180978.00000003667,0.0,0.0,161.82956701258055,3.164,0.1131,3.6216,NaN,0,0,0,0,0,0,0,0,0,0,0,-1.0,[],[]
EDGE_AND_CLOUD,LEADER,120,3071.9817,0.2639,811.454,0.0697,11800,11010,0,630,0,160,0,768,768,11032,10242,0,0,64608.5499999978,51906.29999999477,64608.5499999978,199497.00000004194,0.0,0.0,144.36312038537048,3.1924,0.1361,3.6508,NaN,0,0,0,0,0,0,0,0,0,0,0,-1.0,[],[]
EDGE_AND_CLOUD,LEADER,130,3370.9801,0.266,947.3947,0.0748,12800,12221,0,452,0,127,0,742,742,12058,11479,0,0,51254.51999999475,39902.279999991784,51254.51999999475,217457.00000004796,0.0,0.0,147.5667943907268,3.5927,0.1338,4.1115,NaN,0,0,0,0,0,0,0,0,0,0,0,-1.0,[],[]
EDGE_AND_CLOUD,LEADER,140,3610.5727,0.2653,1110.756,0.0816,13800,12401,0,1209,0,190,0,842,842,12958,11559,0,0,78877.34999999292,53170.70999998894,78877.34999999292,232793.0000000535,0.0,0.0,116.33618052422416,3.7506,0.1472,4.2911,NaN,0,0,0,0,0,0,0,0,0,0,0,-1.0,[],[]
EDGE_AND_CLOUD,LEADER,150,3847.8539,0.2644,1397.9383,0.0961,14800,12689,0,1863,0,248,0,941,941,13859,11748,0,0,158817.34999993347,93786.84999993,158817.34999993347,248924.00000005966,0.0,0.0,78.32532118418526,3.6249,0.151,4.146,NaN,0,0,0,0,0,0,0,0,0,0,0,-1.0,[],[]
