Orchestration architecture,Orchestration algorithm,Edge devices count,Tasks execution delay (s),Average execution delay (s),Tasks waiting time (s),Average waiting time (s),Generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average VM CPU usage (%),Average VM CPU usage (Cloud) (%),Average VM CPU usage (Edge) (%),Average VM CPU usage (Mist) (%),Energy consumption (W),Average energy consumption (W/Data center),Cloud energy consumption (W),Average Cloud energy consumption (W/Data center),Edge energy consumption (W),Average Edge energy consumption (W/Data center),Mist energy consumption (W),Average Mist energy consumption (W/Device),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
EDGE_AND_CLOUD,LEADER,50,1249.4231,0.2645,159.54,0.0338,4800,4686,0,38,0,76,0,281,281,4519,4405,0,0,6627.329999999884,4038.8099999999886,6627.329999999884,82545.00000000221,0.0,0.0,204.3726887767713,1.7033,0.0646,1.9491,NaN,0,0,0,0,0,0,0,0,0,0,0,-1.0,[],[]
EDGE_AND_CLOUD,LEADER,60,1533.6542,0.2681,218.74,0.0382,5800,5695,0,25,0,80,0,254,254,5546,5441,0,0,6767.610000000001,3682.7499999999254,6767.610000000001,99362.00000000793,0.0,0.0,200.3919679698873,2.0869,0.0579,2.3913,NaN,0,0,0,0,0,0,0,0,0,0,0,-1.0,[],[]
EDGE_AND_CLOUD,LEADER,70,1765.0287,0.2667,282.0302,0.0426,6800,6577,0,40,0,183,0,338,338,6462,6239,0,0,14469.03000000033,10793.430000000173,14469.03000000033,116317.00000001385,0.0,0.0,190.3486107119196,2.2585,0.0741,2.5862,NaN,0,0,0,0,0,0,0,0,0,0,0,-1.0,[],[]
EDGE_AND_CLOUD,LEADER,80,2050.5675,0.267,380.0004,0.0495,7800,7539,0,140,0,121,0,381,381,7419,7158,0,0,15288.200000001074,10054.649999999969,15288.200000001074,132726.00000001932,0.0,0.0,181.9180264088995,2.5944,0.0819,2.9713,NaN,0,0,0,0,0,0,0,0,0,0,0,-1.0,[],[]
EDGE_AND_CLOUD,LEADER,90,2292.5747,0.2659,454.1207,0.0527,8800,8529,0,94,0,177,0,484,484,8316,8045,0,0,23860.30000000436,18788.640000003514,23860.30000000436,149017.0000000251,0.0,0.0,178.61535359027206,2.7495,0.098,3.1472,NaN,0,0,0,0,0,0,0,0,0,0,0,-1.0,[],[]
EDGE_AND_CLOUD,LEADER,100,2545.2277,0.2655,565.2925,0.059,9800,9302,0,283,0,215,0,556,556,9244,8746,0,0,32805.58000000445,25299.190000002494,32805.58000000445,165168.00000003062,0.0,0.0,165.50532383406917,2.9587,0.1089,3.3861,NaN,0,0,0,0,0,0,0,0,0,0,0,-1.0,[],[]
EDGE_AND_CLOUD,LEADER,110,2835.3298,0.2655,671.9614,0.0629,10800,10415,0,265,0,120,0,625,625,10175,9790,0,0,38523.32000000473,30739.22000000235,38523.32000000473,183506.00000003644,0.0,0.0,163.44550548852797,3.1892,0.1194,3.6497,NaN,0,0,0,0,0,0,0,0,0,0,0,-1.0,[],[]
EDGE_AND_CLOUD,LEADER,120,3067.4989,0.2649,852.694,0.0736,11800,10714,0,866,0,220,0,713,713,11087,10001,0,0,67537.22000000169,46801.349999999235,67537.22000000169,198489.00000004235,0.0,0.0,128.40698515975396,3.2377,0.1279,3.7042,NaN,0,0,0,0,0,0,0,0,0,0,0,-1.0,[],[]
EDGE_AND_CLOUD,LEADER,130,3322.7651,0.2658,918.4436,0.0735,12800,11852,0,651,0,297,0,743,743,12057,11109,0,0,61676.57999999675,48339.52999999395,61676.57999999675,215865.00000004814,0.0,0.0,140.08115910673678,3.5206,0.1328,4.0288,NaN,0,0,0,0,0,0,0,0,0,0,0,-1.0,[],[]
EDGE_AND_CLOUD,LEADER,140,3582.2513,0.2642,1126.8084,0.0831,13800,12175,0,1383,0,242,0,896,896,12904,11279,0,0,96502.4299999847,68603.22999998047,96502.4299999847,231951.00000005192,0.0,0.0,105.52769759513255,3.563,0.1508,4.0748,NaN,0,0,0,0,0,0,0,0,0,0,0,-1.0,[],[]
EDGE_AND_CLOUD,LEADER,150,3841.5853,0.2652,1610.8786,0.1112,14800,12054,0,2433,0,313,0,884,884,13916,11170,0,0,205399.32999999545,86303.50999999332,205399.32999999545,247753.00000005565,0.0,0.0,43.21965218942295,3.7031,0.1443,4.2369,NaN,0,0,0,0,0,0,0,0,0,0,0,-1.0,[],[]
